path_id,meter_x,meter_y
0,0.5816,0.28319999999999995
0,0.5828,0.282
0,0.584,0.282
0,0.5851999999999999,0.282
0,0.5864,0.282
0,0.5876,0.2808
0,0.5888,0.2808
0,0.59,0.2808
0,0.5912,0.27959999999999996
0,0.5924,0.27959999999999996
0,0.5936,0.27959999999999996
0,0.5948,0.27959999999999996
0,0.596,0.27959999999999996
0,0.5972,0.2784
0,0.5984,0.2784
0,0.5996,0.2784
0,0.6008,0.2784
0,0.602,0.2772
0,0.6032,0.2772
0,0.6044,0.2772
0,0.6056,0.2772
0,0.6068,0.2772
0,0.608,0.27599999999999997
0,0.6092,0.27599999999999997
0,0.6103999999999999,0.27599999999999997
0,0.6116,0.27599999999999997
0,0.6128,0.2748
0,0.614,0.2748
0,0.6152,0.2748
0,0.6164,0.2748
0,0.6176,0.27359999999999995
0,0.6188,0.27359999999999995
0,0.62,0.27359999999999995
0,0.6212,0.27359999999999995
0,0.6224,0.27359999999999995
0,0.6235999999999999,0.27359999999999995
0,0.6248,0.2724
0,0.626,0.2724
0,0.6272,0.2724
0,0.6284,0.2724
0,0.6295999999999999,0.2724
0,0.6308,0.2724
0,0.632,0.2712
0,0.6332,0.2712
0,0.6344,0.2712
0,0.6355999999999999,0.2712
0,0.6368,0.2712
0,0.638,0.2712
0,0.6392,0.2712
0,0.6404,0.2712
0,0.6416,0.2712
0,0.6428,0.2712
0,0.644,0.2712
0,0.6452,0.2712
0,0.6464,0.2712
0,0.6476,0.2712
0,0.6488,0.2712
0,0.65,0.2712
0,0.6512,0.2712
0,0.6524,0.2712
0,0.6536,0.2712
0,0.6548,0.2712
0,0.656,0.2712
0,0.6572,0.2712
0,0.6584,0.2712
0,0.6572,0.2712
0,0.656,0.2712
0,0.6548,0.2712
0,0.6536,0.2712
0,0.6524,0.2712
0,0.6512,0.2712
0,0.65,0.2712
0,0.6488,0.2712
0,0.6476,0.2712
0,0.6464,0.2712
0,0.6452,0.2712
0,0.644,0.2712
0,0.6428,0.2712
0,0.6416,0.2712
0,0.6404,0.2712
0,0.6392,0.2712
0,0.638,0.2712
0,0.6368,0.2712
0,0.6355999999999999,0.2712
0,0.6344,0.2712
0,0.6332,0.2712
0,0.632,0.2712
0,0.6308,0.2724
0,0.6295999999999999,0.2724
0,0.6284,0.2724
0,0.6272,0.2724
0,0.626,0.2724
0,0.6248,0.2724
0,0.6235999999999999,0.27359999999999995
0,0.6224,0.27359999999999995
0,0.6212,0.27359999999999995
0,0.62,0.27359999999999995
0,0.6188,0.27359999999999995
0,0.6176,0.27359999999999995
0,0.6164,0.2748
0,0.6152,0.2748
0,0.614,0.2748
0,0.6128,0.2748
0,0.6116,0.27599999999999997
0,0.6103999999999999,0.27599999999999997
0,0.6092,0.27599999999999997
0,0.608,0.27599999999999997
0,0.6068,0.2772
0,0.6056,0.2772
0,0.6044,0.2772
0,0.6032,0.2772
0,0.602,0.2772
0,0.6008,0.2784
0,0.5996,0.2784
0,0.5984,0.2784
0,0.5972,0.2784
0,0.596,0.27959999999999996
0,0.5948,0.27959999999999996
0,0.5936,0.27959999999999996
0,0.5924,0.27959999999999996
0,0.5912,0.27959999999999996
0,0.59,0.2808
0,0.5888,0.2808
0,0.5876,0.2808
0,0.5864,0.282
0,0.5851999999999999,0.282
0,0.584,0.282
0,0.5828,0.282
1,0.56,-0.023999999999999997
1,0.5612,-0.025199999999999997
1,0.5624,-0.023999999999999997
1,0.5636,-0.023999999999999997
1,0.5648,-0.023999999999999997
1,0.566,-0.022799999999999997
1,0.5672,-0.022799999999999997
1,0.5684,-0.021599999999999998
1,0.5696,-0.021599999999999998
1,0.5708,-0.020399999999999998
1,0.572,-0.020399999999999998
1,0.5731999999999999,-0.0192
1,0.5744,-0.0192
1,0.5756,-0.018
1,0.5768,-0.018
1,0.578,-0.018
1,0.5791999999999999,-0.0168
1,0.5804,-0.0168
1,0.5816,-0.0156
1,0.5828,-0.0156
1,0.584,-0.0156
1,0.5851999999999999,-0.0144
1,0.5864,-0.0144
1,0.5876,-0.013199999999999998
1,0.5888,-0.013199999999999998
1,0.59,-0.011999999999999999
1,0.5912,-0.011999999999999999
1,0.5924,-0.011999999999999999
1,0.5936,-0.010799999999999999
1,0.5948,-0.010799999999999999
1,0.596,-0.010799999999999999
1,0.5972,-0.0096
1,0.5984,-0.0096
1,0.5996,-0.0096
1,0.6008,-0.0096
1,0.602,-0.0084
1,0.6032,-0.0084
1,0.6044,-0.0084
1,0.6056,-0.0072
1,0.6068,-0.0072
1,0.608,-0.0072
1,0.6092,-0.0072
1,0.6103999999999999,-0.005999999999999999
1,0.6116,-0.005999999999999999
1,0.6128,-0.005999999999999999
1,0.614,-0.005999999999999999
1,0.6152,-0.0048
1,0.6164,-0.0048
1,0.6176,-0.0048
1,0.6188,-0.0048
1,0.62,-0.0048
1,0.6212,-0.0036
1,0.6224,-0.0036
1,0.6235999999999999,-0.0036
1,0.6248,-0.0036
1,0.626,-0.0036
1,0.6272,-0.0036
1,0.6284,-0.0024
1,0.6295999999999999,-0.0024
1,0.6308,-0.0024
1,0.632,-0.0024
1,0.6332,-0.0024
1,0.6344,-0.0024
1,0.6355999999999999,-0.0024
1,0.6368,-0.0024
1,0.638,-0.0024
1,0.6392,-0.0024
1,0.6404,-0.0024
1,0.6416,-0.0024
1,0.6428,-0.0024
1,0.644,-0.0024
1,0.6452,-0.0024
1,0.6464,-0.0024
1,0.6476,-0.0036
1,0.6488,-0.0036
1,0.65,-0.0036
1,0.6512,-0.0036
1,0.6524,-0.0048
1,0.6536,-0.0048
1,0.6548,-0.005999999999999999
1,0.656,-0.005999999999999999
1,0.6572,-0.0072
1,0.6584,-0.0072
1,0.6572,-0.0072
1,0.656,-0.005999999999999999
